"sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
"Phenylalanine Metabolism","4-hydroxyphenylacetate",0.193562681274297,0,0.378191933505391,0.26,0.781032551041126,0.02,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","hypoxanthine",0.00358754236399005,0,0.00470525922088983,0,0.0107431256156537,0.01,"Interaction"
"Fatty Acid, Dihydroxy","9,10-DiHOME",0.0831688745136399,0,0.636553883431925,0.59,0.227417825492848,0.54,"Interaction"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","linoleate (18:2n6)",0.0252818413398019,0,0.682951712415013,1,0.111980344751503,0,"Interaction"
"Medium Chain Fatty Acid","laurate (12:0)",0.0100857372992525,0,0.277315517217244,0.82,0.539951422517944,0.32,"Interaction"
"Nicotinate and Nicotinamide Metabolism","quinolinate",0.115334002286559,0.01,0.321104012525162,0,0.697417873819314,0.11,"Interaction"
"Lysine Metabolism","N6,N6,N6-trimethyllysine",0.116664609041754,0,0.0741798111923716,0.02,0.0622857117474628,0.15,"Interaction"
"Polyamine Metabolism","N-acetylputrescine",0.0313778618527255,0,0.0913740420007285,0.01,0.53049984664355,0.13,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","N-formylmethionine",0.320680272775277,0,0.104347375453516,0,0.357904763584233,0.5,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","S-adenosylhomocysteine (SAH)",0.145355861770499,0,0.0762495821942814,0,0.318039481629292,0.5,"Interaction"
"Chemical","glycolate (hydroxyacetate)",0.036150629401865,0,0.354992713493318,0.15,0.16717474710141,0,"Interaction"
"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",0.0482904322035006,0,0.302872013999928,0.1,0.350629779624525,0.39,"Interaction"
"Purine Metabolism, Adenine containing","adenosine 5'-diphosphate (ADP)",0.097165242963384,0,0.180731677005267,0.1,0.133048592373858,0.39,"Interaction"
"Purine Metabolism, Adenine containing","adenosine 5'-monophosphate (AMP)",0.104295874522424,0,0.0909544364819635,0.1,0.0623413781689749,0.39,"Interaction"
"Polyamine Metabolism","5-methylthioadenosine (MTA)",0.0822222024455358,0,0.136459200706635,0.01,0.228061386157483,0.13,"Interaction"
"Nicotinate and Nicotinamide Metabolism","adenosine 5'-diphosphoribose (ADP-ribose)",0.305812688539962,0.01,0.0173055054597771,0,0.00359268731249546,0.11,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","allantoic acid",0.112440756222545,0,0.0743601150279403,0,0.763957000515476,0.01,"Interaction"
"Pentose Phosphate Pathway","ribose 1-phosphate",0.000291073855793384,0.000291073855793384,0.121912558217992,0.121912558217992,0.190636051580914,0.190636051580914,"Interaction"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","arachidonate (20:4n6)",0.0441507426026822,0,0.761767314037945,1,0.0769987413994771,0,"Interaction"
"Urea cycle; Arginine and Proline Metabolism","arginine",0.0796399992981739,0,0.723429020844676,0.01,0.129771637662255,0.01,"Interaction"
"Urea cycle; Arginine and Proline Metabolism","argininosuccinate",0.0031245673528175,0,0.0125833250516079,0.01,0.0985612095890799,0.01,"Interaction"
"Alanine and Aspartate Metabolism","aspartate",0.0483047944007561,0,0.626407636928417,0.12,0.124114471421598,0.6,"Interaction"
"Phenylalanine Metabolism","2-hydroxyphenylacetate",0.103146784279507,0,0.656369826362435,0.26,0.021258303600123,0.02,"Interaction"
"Tyrosine Metabolism","3-(4-hydroxyphenyl)lactate",0.0225930059334533,0,0.0237501203138436,0.03,0.989835822798147,0.73,"Interaction"
"Phenylalanine Metabolism","phenylpyruvate",0.0886302697914624,0,0.310607882634669,0.26,0.194130767088182,0.02,"Interaction"
"Histidine Metabolism","carnosine",0.0345415030427514,0,0.0848103385292442,0,0.934153226844452,0.02,"Interaction"
"TCA Cycle","succinate",0.045974236159301,0,0.39470945788448,0.43,0.728419938632103,0.29,"Interaction"
"Ketone Bodies","3-hydroxybutyrate (BHBA)",0.0341972801715445,0.0341972801715445,0.749222172636858,0.749222172636858,0.506608625576211,0.506608625576211,"Interaction"
"Sterol","cholesterol",0.0294507582405685,0,0.596677487654045,0.75,0.269998787356903,0.17,"Interaction"
"Phospholipid Metabolism","choline phosphate",0.0201598481008466,0,0.242140797683593,0,0.354256878469553,0.15,"Interaction"
"Creatine Metabolism","creatinine",0.00886569495066744,0,0.164348244593045,0.32,0.402029643488111,0.36,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","cystine",0.220029183419301,0,0.601663569287766,0,0.167012293413781,0.5,"Interaction"
"Sphingosines","sphingosine",0.0228729115904129,0.01,0.00272274483950211,0.01,0.217043624140963,0.15,"Interaction"
"Secondary Bile Acid Metabolism","deoxycholate",0.170627061291646,0,0.792389465256825,0.07,0.00510137696787994,0,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","cystathionine",0.106169560104415,0,0.56151933506005,0,0.432266675228957,0.5,"Interaction"
"Sphingolipid Synthesis","sphinganine",0.00852639759052481,0,0.0201336028107725,0,0.491181801776737,0.38,"Interaction"
"Riboflavin Metabolism","flavin adenine dinucleotide (FAD)",0.0552849556795705,0.02,0.272319747479895,0.23,0.17180048431371,0.09,"Interaction"
"TCA Cycle","fumarate",0.0167267343941703,0,0.354596467971247,0.43,0.853659767140249,0.29,"Interaction"
"Gamma-glutamyl Amino Acid","gamma-glutamylglutamate",0.0428694486025221,0,0.320254416064221,0,0.534805129758018,0.98,"Interaction"
"Food Component/Plant","gluconate",0.00373945990835645,0,0.13718096936806,0,0.288672331193708,0,"Interaction"
"Fatty Acid, Dicarboxylate","glutarate (C5-DC)",0.0108576929014128,0,0.108317166456286,0.15,0.625342262219474,0.05,"Interaction"
"Glycine, Serine and Threonine Metabolism","glycine",0.0655133985027057,0,0.467528445361132,0.19,0.237799984782475,0.22,"Interaction"
"Primary Bile Acid Metabolism","glycocholate",0.443345699638509,0,0.160858791031695,0.01,0.0571365477933136,0,"Interaction"
"Creatine Metabolism","guanidinoacetate",0.0140340217933262,0,0.508974900933171,0.32,0.353112834939099,0.36,"Interaction"
"Purine Metabolism, Guanine containing","guanosine 5'-monophosphate (5'-GMP)",0.0048625481643863,0,0.40173558936767,0.26,0.530449060465547,0.2,"Interaction"
"Histidine Metabolism","histamine",0.977600250111046,0,0.281488752709261,0,0.238393646909373,0.02,"Interaction"
"Histidine Metabolism","histidine",0.209696731776976,0,0.659777941731453,0,0.0639140843498126,0.02,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","hypotaurine",0.0915696430402321,0,0.11312092728668,0,0.185449558316927,0.5,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine",0.0148152764960716,0,0.0370150906535854,0,0.0709406876867838,0.01,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine 5'-monophosphate (IMP)",0.658843157955568,0,0.00931857557934855,0,0.0642340690964059,0.01,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","isoleucine",0.0348676155042648,0,0.215504251053669,0.05,0.614432335700531,0.85,"Interaction"
"Lysine Metabolism","2-aminoadipate",0.0103952220781157,0,0.727548233944185,0.02,0.629734269142822,0.15,"Interaction"
"Urea cycle; Arginine and Proline Metabolism","citrulline",0.0476222799655269,0,0.0647299100368706,0.01,0.286904460540662,0.01,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","leucine",0.0351602822752675,0,0.406078875291157,0.05,0.264075801520311,0.85,"Interaction"
"Lysine Metabolism","lysine",0.0624456732022224,0,0.551516874883972,0.02,0.115033235371341,0.15,"Interaction"
"TCA Cycle","malate",0.0954594087427503,0,0.652962261724835,0.43,0.161029027558757,0.29,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","methionine",0.123101597660019,0,0.269386968735068,0,0.274820346432039,0.5,"Interaction"
"Fatty Acid Metabolism (also BCAA Metabolism)","methylmalonate (MMA)",0.85076738521202,0.01,0.270173870620501,0.05,0.221783515277034,0.3,"Interaction"
"Long Chain Saturated Fatty Acid","palmitate (16:0)",0.0109580252269873,0,0.421681898525152,0.78,0.226115183794794,0.03,"Interaction"
"Nicotinate and Nicotinamide Metabolism","nicotinamide",0.0724565900143626,0.01,0.00922973152951006,0,0.194648017443257,0.11,"Interaction"
"Long Chain Saturated Fatty Acid","stearate (18:0)",0.0154249046792705,0,0.439696449480892,0.78,0.0855664315298864,0.03,"Interaction"
"Urea cycle; Arginine and Proline Metabolism","ornithine",0.125377860697567,0,0.555866759660468,0.01,0.209732089583714,0.01,"Interaction"
"Pyrimidine Metabolism, Orotate containing","orotate",0.010853032830332,0,0.28347959922482,0.12,0.985732023065414,0.94,"Interaction"
"Glutathione Metabolism","glutathione, oxidized (GSSG)",0.230869318288294,0,0.00291067988898058,0,0.806737400229212,0.84,"Interaction"
"Long Chain Monounsaturated Fatty Acid","palmitoleate (16:1n7)",0.00587212449347184,0,0.29100368646097,0.66,0.475753439154087,0.04,"Interaction"
"Phenylalanine Metabolism","phenylalanine",0.0363883347543793,0,0.456208411714394,0.26,0.108088975456089,0.02,"Interaction"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","phosphoenolpyruvate (PEP)",0.34787754802546,0,0.0866893330521952,0,0.118188291774495,0.07,"Interaction"
"Urea cycle; Arginine and Proline Metabolism","proline",0.0740213897269729,0,0.373267483103859,0.01,0.287280651618617,0.01,"Interaction"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","lactate",0.0222340610505903,0,0.280942428683059,0,0.362140781623032,0.07,"Interaction"
"Vitamin B6 Metabolism","pyridoxal",0.0208491082451842,0,0.643625707225782,0.62,0.636559216953499,0.9,"Interaction"
"Vitamin A Metabolism","retinol (vitamin A)",0.00726545620183481,0,0.896725244081599,0.97,0.973464897063455,0.74,"Interaction"
"Riboflavin Metabolism","riboflavin (vitamin B2)",0.0559253431052559,0.02,0.217588896846594,0.23,0.104035504682656,0.09,"Interaction"
"Glycine, Serine and Threonine Metabolism","serine",0.0520383551446891,0,0.553482091120484,0.19,0.259657735446138,0.22,"Interaction"
"Tryptophan Metabolism","serotonin",0.0372511126590291,0,0.0336831735090567,0.01,0.199333915756561,0.15,"Interaction"
"Polyamine Metabolism","spermine",0.0869125828766498,0,0.114360543474185,0.01,0.0298305441904262,0.13,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","taurine",0.088514853271441,0,0.450656436295216,0,0.1515032932865,0.5,"Interaction"
"Long Chain Saturated Fatty Acid","myristate (14:0)",0.00473386228088462,0,0.342479337261144,0.78,0.352269948519459,0.03,"Interaction"
"Thiamine Metabolism","thiamin monophosphate",0.0151231845752792,0,0.643334392265249,0.1,0.305019315309113,0.13,"Interaction"
"Urea cycle; Arginine and Proline Metabolism","urea",0.19818209450105,0,0.161527915626257,0.01,0.123449038977768,0.01,"Interaction"
"Pyrimidine Metabolism, Uracil containing","uridine",0.0188308223125803,0,0.502200950729596,0.15,0.349566210969112,0.78,"Interaction"
"Pyrimidine Metabolism, Uracil containing","2'-deoxyuridine",0.592866911010886,0,0.490763480993143,0.15,0.785641322754519,0.78,"Interaction"
"Histidine Metabolism","trans-urocanate",0.146489413037475,0,0.0416553418047004,0,0.597364636660278,0.02,"Interaction"
"Glutamate Metabolism","glutamate",0.139677544958066,0,0.619446154804037,0.05,0.140116962324514,0.22,"Interaction"
"Glutamate Metabolism","glutamine",0.0218840106950469,0,0.582402929619591,0.05,0.183594547312908,0.22,"Interaction"
"Glycine, Serine and Threonine Metabolism","threonine",0.0905656666780272,0,0.478992536609908,0.19,0.280021442212533,0.22,"Interaction"
"Tryptophan Metabolism","tryptophan",0.0767368086917721,0,0.588320217305019,0.01,0.11856348364117,0.15,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","valine",0.0543695205396175,0,0.347195270426432,0.05,0.184833580369873,0.85,"Interaction"
"Vitamin B6 Metabolism","pyridoxamine",0.275247650730502,0,0.873760599441195,0.62,0.632162786780312,0.9,"Interaction"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","glucose",0.010604093070088,0,0.525274252373849,0,0.75626883614672,0.07,"Interaction"
"Purine Metabolism, Adenine containing","adenosine",0.805063170577102,0,0.30346737925765,0.1,0.521081833929601,0.39,"Interaction"
"Glycine, Serine and Threonine Metabolism","betaine",0.0781126445288531,0,0.554197363367448,0.19,0.123010712538153,0.22,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","cysteine",0.0276911414605899,0,0.47973208090568,0,0.248658036180079,0.5,"Interaction"
"Fructose, Mannose and Galactose Metabolism","mannose",0.00256900454367727,0,0.402970360092942,0.19,0.901962373692407,0.87,"Interaction"
"Glycine, Serine and Threonine Metabolism","dimethylglycine",0.141307220681031,0,0.0355004543403661,0.19,0.848414085963586,0.22,"Interaction"
"Alanine and Aspartate Metabolism","alanine",0.0513901154517377,0,0.569707476263347,0.12,0.42533221236832,0.6,"Interaction"
"Tyrosine Metabolism","tyrosine",0.134460478817334,0,0.0969320711174545,0.03,0.401402093625202,0.73,"Interaction"
"Pyrimidine Metabolism, Uracil containing","pseudouridine",0.0831072708672593,0,0.185269270204122,0.15,0.630648473358513,0.78,"Interaction"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","pyruvate",0.0193381766584859,0,0.0817614993570646,0,0.715881905574069,0.07,"Interaction"
"Pyrimidine Metabolism, Uracil containing","uracil",0.134504269980846,0,0.116691842200754,0.15,0.93253370029003,0.78,"Interaction"
"Pentose Metabolism","xylose",0.0672165455429082,0,0.290504491644783,0.02,0.566581005656775,0.98,"Interaction"
"Pyrimidine Metabolism, Cytidine containing","cytidine",0.0129025031746716,0,0.665225522814533,0.23,0.219982531984048,0.08,"Interaction"
"Pentose Metabolism","arabinose",0.022547697627311,0,0.580928216468502,0.02,0.936994321415879,0.98,"Interaction"
"Pyrimidine Metabolism, Uracil containing","uridine 5'-monophosphate (UMP)",0.0393110709888111,0,0.130270267164016,0.15,0.167330943783041,0.78,"Interaction"
"Thiamine Metabolism","thiamin (vitamin B1)",0.0529553709741074,0,0.185993688494396,0.1,0.343729735376272,0.13,"Interaction"
"Fructose, Mannose and Galactose Metabolism","fructose",0.0348458021709914,0,0.26824849741422,0.19,0.407099327714758,0.87,"Interaction"
"Purine Metabolism, Adenine containing","adenine",0.454616603941365,0,0.62448712108639,0.1,0.9836377004125,0.39,"Interaction"
"Pyrimidine Metabolism, Cytidine containing","cytosine",0.134546581794641,0,0.160733523135308,0.23,0.0494038646645732,0.08,"Interaction"
"Medium Chain Fatty Acid","caprate (10:0)",0.0510841132158435,0,0.467025039316618,0.82,0.304453340490187,0.32,"Interaction"
"Long Chain Saturated Fatty Acid","margarate (17:0)",0.0141304084833442,0,0.580844184129057,0.78,0.0846470181309929,0.03,"Interaction"
"Long Chain Saturated Fatty Acid","nonadecanoate (19:0)",0.00518549853097684,0,0.417441651152355,0.78,0.286288637325851,0.03,"Interaction"
"Long Chain Saturated Fatty Acid","arachidate (20:0)",0.00734350690061009,0,0.743114265117737,0.78,0.109621482397562,0.03,"Interaction"
"Pentose Metabolism","ribose",0.00709945231326591,0,0.459338202705037,0.02,0.536536453394133,0.98,"Interaction"
"Alanine and Aspartate Metabolism","asparagine",0.0640398487911655,0,0.523203430645234,0.12,0.172962112190057,0.6,"Interaction"
"Pyrimidine Metabolism, Orotate containing","dihydroorotate",0.168787084289087,0,0.10918888831836,0.12,0.813969359727151,0.94,"Interaction"
"Medium Chain Fatty Acid","heptanoate (7:0)",0.783334239268327,0,0.381253830123672,0.82,0.406683323750141,0.32,"Interaction"
"Medium Chain Fatty Acid","caproate (6:0)",0.280876790803723,0,0.456442100311736,0.82,0.316103847922228,0.32,"Interaction"
"Disaccharides and Oligosaccharides","sucrose",0.0416236543052869,0.0416236543052869,0.711624975571214,0.711624975571214,0.786765977651509,0.786765977651509,"Interaction"
"Long Chain Saturated Fatty Acid","pentadecanoate (15:0)",0.0194425015701136,0,0.679673301280485,0.78,0.172272456043906,0.03,"Interaction"
"Urea cycle; Arginine and Proline Metabolism","trans-4-hydroxyproline",0.075741155225595,0,0.249786349498963,0.01,0.224547247364817,0.01,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","allantoin",0.0617650700418446,0,0.105412480140412,0,0.866310426607267,0.01,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","xanthine",0.00066347846277168,0,0.000429597189168503,0,0.00428249547118004,0.01,"Interaction"
"Glutathione Metabolism","5-oxoproline",0.0723294908912167,0,0.0568379968882739,0,0.113831691477117,0.84,"Interaction"
"Tryptophan Metabolism","picolinate",0.0823440138146729,0,0.144898816637504,0.01,0.139931014013746,0.15,"Interaction"
"Glycine, Serine and Threonine Metabolism","sarcosine",0.0519491846447267,0,0.601816354787246,0.19,0.0297143630759463,0.22,"Interaction"
"Lysine Metabolism","pipecolate",0.196540087113018,0,0.236578157013335,0.02,0.54163134627412,0.15,"Interaction"
"Phospholipid Metabolism","phosphoethanolamine",0.0614550363476405,0,0.239619296046431,0,0.109485085695285,0.15,"Interaction"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","glycerate",0.0304996764094482,0,0.315679788519614,0,0.410818058509193,0.07,"Interaction"
"Pyrimidine Metabolism, Uracil containing","3-ureidopropionate",0.0282210578991557,0,0.613633884155192,0.15,0.829634745012148,0.78,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","N-acetylleucine",0.0435864809049146,0,0.192513827055024,0.05,0.810339882690003,0.85,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","N-acetylmethionine",0.145432408837634,0,0.101799152766066,0,0.87688026305329,0.5,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","N-acetylvaline",0.0560889504246072,0,0.223723859981393,0.05,0.454696993764784,0.85,"Interaction"
"Long Chain Monounsaturated Fatty Acid","erucate (22:1n9)",0.00946912755077494,0,0.553931166608548,0.66,0.130752563747934,0.04,"Interaction"
"Tyrosine Metabolism","thyroxine",0.0501511551112496,0,0.416678109757694,0.03,0.191225369141287,0.73,"Interaction"
"Gamma-glutamyl Amino Acid","gamma-glutamyltyrosine",0.0328504831182724,0,0.0532902888421789,0,0.792061361387655,0.98,"Interaction"
"Food Component/Plant","methyl indole-3-acetate",0.2153119756003,0,0.0247042679819519,0,0.211082848461653,0,"Interaction"
"Tocopherol Metabolism","alpha-tocopherol",0.00128848309458398,0,0.308334253169933,0.46,0.69701070923659,0.82,"Interaction"
"Pyrimidine Metabolism, Orotate containing","N-carbamoylaspartate",0.0145503192113014,0,0.428799000893615,0.12,0.863478492023781,0.94,"Interaction"
"Alanine and Aspartate Metabolism","N-acetylalanine",0.0387257388571584,0,0.162892595131874,0.12,0.353606713418316,0.6,"Interaction"
"Polyamine Metabolism","4-acetamidobutanoate",0.301484454471222,0,0.422368464822993,0.01,0.682685761301489,0.13,"Interaction"
"Primary Bile Acid Metabolism","chenodeoxycholate",0.00287315648824124,0,0.366073360294966,0.01,0.00728904188876842,0,"Interaction"
"TCA Cycle","citrate",0.152084428328887,0,0.214292266773641,0.43,0.413202606460502,0.29,"Interaction"
"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouracil",0.269062779366179,0,0.842972564959055,0.15,0.95978672566413,0.78,"Interaction"
"Glutathione Metabolism","2-aminobutyrate",0.0911638341736356,0,0.26471821079595,0,0.499372586820442,0.84,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","urate",0.0303686516034937,0,0.0596875641373491,0,0.785863887715548,0.01,"Interaction"
"Secondary Bile Acid Metabolism","ursodeoxycholate",0.581031757512572,0,0.0541876002015761,0.07,0.0299592657912497,0,"Interaction"
"Endocannabinoid","oleoyl ethanolamide",0.0271525267681771,0,0.633500062287828,0.95,0.0591951420244347,0.01,"Interaction"
"Gamma-glutamyl Amino Acid","gamma-glutamylglutamine",0.0161824780911638,0,0.297109503432579,0,0.611514711410794,0.98,"Interaction"
"Tyrosine Metabolism","4-hydroxyphenylpyruvate",0.0243343924981592,0,0.586334593733914,0.03,0.811881202145233,0.73,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","tigloylglycine",0.0483248590130524,0,0.25254281232458,0.05,0.858100488659721,0.85,"Interaction"
"Aminosugar Metabolism","N-acetylneuraminate",0.0677772831258461,0,0.11187864842066,0.01,0.468419994708407,0.2,"Interaction"
"Aminosugar Metabolism","N-acetylglucosaminylasparagine",0.053272871719715,0,0.524795645527257,0.01,0.034165080072,0.2,"Interaction"
"Creatine Metabolism","creatine",0.0367670657558814,0,0.698554592542925,0.32,0.228602836693471,0.36,"Interaction"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","2,3-diphosphoglycerate",0.444932487240522,0,0.0198387300491198,0,0.0314650781116651,0.07,"Interaction"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","dihomo-linoleate (20:2n6)",0.0193690633574222,0,0.49966846393438,1,0.0750739648677822,0,"Interaction"
"Gamma-glutamyl Amino Acid","gamma-glutamylhistidine",0.242700162827534,0,0.261769314619829,0,0.904752060863434,0.98,"Interaction"
"Fatty Acid, Monohydroxy","2-hydroxystearate",0.0135636787065212,0,0.454264161275451,0.83,0.106746456261001,0.15,"Interaction"
"Purine Metabolism, Adenine containing","N1-methyladenosine",0.00907069552765247,0,0.190135507710676,0.1,0.449199572423467,0.39,"Interaction"
"Glycerolipid Metabolism","glycerol",0.00506672469789253,0,0.403108380578132,0.1,0.175657881991895,0.56,"Interaction"
"Phospholipid Metabolism","choline",0.0139195776644914,0,0.197771695916927,0,0.206716741110682,0.15,"Interaction"
"Tryptophan Metabolism","anthranilate",0.211099936246588,0,0.141922982490759,0.01,0.810664974460383,0.15,"Interaction"
"Food Component/Plant","cinnamate",0.201213349191473,0,0.999893699854607,0,0.075645895934251,0,"Interaction"
"Gamma-glutamyl Amino Acid","gamma-glutamylleucine",0.058311151089548,0,0.189769586076269,0,0.663573134950767,0.98,"Interaction"
"Tyrosine Metabolism","3-methoxytyrosine",0.0328609002515181,0,0.335810725595097,0.03,0.395483009677703,0.73,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","beta-hydroxyisovalerate",0.124131537105267,0,0.029393464713887,0.05,0.562600766421446,0.85,"Interaction"
"Endocannabinoid","palmitoyl ethanolamide",0.00900204553467103,0,0.456914392613769,0.95,0.386789654264967,0.01,"Interaction"
"Ceramides","N-palmitoyl-sphingosine (d18:1/16:0)",0.04098346681501,0,0.623278504899439,0.17,0.176974844070127,0.46,"Interaction"
"Phosphatidylethanolamine (PE)","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",0.0172372665702532,0,0.101098726646986,0.35,0.388964452900994,0.22,"Interaction"
"Phosphatidylinositol (PI)","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)",0.881598463562205,0,0.291794563369055,0.98,0.136639852766638,0.15,"Interaction"
"Phosphatidylcholine (PC)","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",0.0689083661787246,0,0.781369044552264,0.99,0.346453254133572,0.01,"Interaction"
"Sphingomyelins","stearoyl sphingomyelin (d18:1/18:0)",0.0149478724448072,0,0.247905047673551,0.83,0.634691512477223,0.58,"Interaction"
"Phosphatidylcholine (PC)","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)",0.0126470955479162,0,0.35558277019382,0.99,0.903051989384075,0.01,"Interaction"
"Ceramides","N-stearoyl-sphingosine (d18:1/18:0)*",0.0506530465676168,0,0.0768369188740676,0.17,0.0623664846786948,0.46,"Interaction"
"Primary Bile Acid Metabolism","taurochenodeoxycholate",0.298231609303349,0,0.0220438739757744,0.01,0.111055950213112,0,"Interaction"
"Primary Bile Acid Metabolism","taurocholate",0.15035393637439,0,0.057444733593083,0.01,0.21770576696032,0,"Interaction"
"Secondary Bile Acid Metabolism","taurodeoxycholate",0.195920496820756,0,0.338417744669837,0.07,0.000535089846342891,0,"Interaction"
"Fatty Acid, Dicarboxylate","azelate (C9-DC)",0.170175911572912,0,0.289127845382015,0.15,0.25470765411935,0.05,"Interaction"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","eicosapentaenoate (EPA; 20:5n3)",0.0381719583136183,0,0.544038658701379,1,0.215569822994016,0,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","methylsuccinate",0.114214735669199,0,0.538588768012128,0.05,0.6829890688579,0.85,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","ethylmalonate",0.0264371897547055,0,0.379595592934797,0.05,0.853661500310772,0.85,"Interaction"
"Tryptophan Metabolism","xanthurenate",0.170990217308354,0,0.225997603809884,0.01,0.758108704085962,0.15,"Interaction"
"Fatty Acid, Dicarboxylate","suberate (C8-DC)",0.0728609740094869,0,0.172044349939764,0.15,0.803506378334868,0.05,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","3-methyl-2-oxovalerate",0.0858568947880155,0,0.472767170418147,0.05,0.414624756857079,0.85,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","methionine sulfoxide",0.224423477027822,0,0.251384949211771,0,0.442405001139088,0.5,"Interaction"
"Histidine Metabolism","3-methylhistidine",0.130993143884834,0,0.387402579272859,0,0.000412321069748319,0.02,"Interaction"
"Histidine Metabolism","anserine",0.0696907011888456,0,0.297900407105583,0,0.0540217294775194,0.02,"Interaction"
"Lysine Metabolism","5-hydroxylysine",0.108270878247473,0,0.333773150476729,0.02,0.12666942133118,0.15,"Interaction"
"Fructose, Mannose and Galactose Metabolism","2-ketogulonate",0.12167421331987,0,0.32124352531571,0.19,0.901950053565025,0.87,"Interaction"
"Fatty Acid, Dicarboxylate","pimelate (C7-DC)",0.0467263089812355,0,0.0721044957783009,0.15,0.946851217989897,0.05,"Interaction"
