"CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM"
212,400,1419,155365,"Amino Acid","Polyamine Metabolism",564,"NAMED","WUUGFSXJNOTRMR-IOSLPCCCSA-N","NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3","5-methylthioadenosine (MTA)","5-methylthioadenosine (MTA)","2457-80-9","388321","HMDB0001173","C00170","439176","Pos Early"
215,209,558,125963,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4346,"NAMED","SDMADEZQMYCSNO-UHFFFAOYSA-N","NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(OP(O)(OC4OC(C(C4O)O)CO)=O)=O","adenosine 5'-diphosphoribose (ADP-ribose)","adenosine 5'-diphosphoribose (ADP-ribose)","68414-18-6","3674071","HMDB0001178","C00301","192","Neg"
218,305,33434,146950,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4154,"NAMED","NUCLJNSWZCHRKL-UHFFFAOYSA-N","OC(C(NC(N)=O)NC(N)=O)=O","allantoic acid","allantoic acid","99-16-1","198","HMDB0001209","C00499","203","Polar"
219,305,1763,147132,"Carbohydrate","Pentose Phosphate Pathway",1272,"NAMED","YXJDFQJKERBOBM-TXICZTDVSA-N","O[C@@H]1[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O","ribose 1-phosphate","ribose 1-phosphate","50-99-7,58459-37-3","388373","HMDB0001489","C00620","439236","Polar"
229,209,1110,125971,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1591,"NAMED","YZXBAPSDXZZRGB-DOFZRALJSA-N","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O","arachidonate (20:4n6)","arachidonate (20:4n6)","506-32-1","392692","HMDB0001043","C00219","444899","Neg"
231,400,1638,155435,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",490,"NAMED","ODKSFYDXXFIFQN-UHFFFAOYSA-N","N=C(N)NCCCC(N)C(O)=O","arginine","arginine","1119-34-2","227","HMDB0000517","C00062","6322","Pos Early"
232,400,15497,155552,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",491,"NAMED","KDZOASGQNOPSCU-UHFFFAOYSA-N","NC(C(O)=O)CCCNC(NC(C(O)=O)CC(O)=O)=N","argininosuccinate","argininosuccinate","156637-58-0","805","HMDB0000052","C03406","60150382","Pos Early"
234,400,443,155304,"Amino Acid","Alanine and Aspartate Metabolism",36,"NAMED","CKLJMWTZIZZHCS-UHFFFAOYSA-N","NC(C(O)=O)CC(O)=O","aspartate","aspartate","56-84-8","5745","HMDB0000191","C00049","5960","Pos Early"
235,305,1432,145724,"Amino Acid","Phenylalanine Metabolism",161,"NAMED","CCVYRRGZDBSHFU-UHFFFAOYSA-N","OC(CC1=C(O)C=CC=C1)=O","2-hydroxyphenylacetate","2-hydroxyphenylacetate","614-75-5","11476","HMDB0000669","C05852","11970","Polar"
240,209,32197,123321,"Amino Acid","Tyrosine Metabolism",186,"NAMED","JVGVDSSUAVXRDY-UHFFFAOYSA-N","OC(C(O)=O)CC1=CC=C(O)C=C1","3-(4-hydroxyphenyl)lactate","3-(4-hydroxyphenyl)lactate (HPLA)","6482-98-0","9010","HMDB0000755","C03672","9378","Neg"
241,209,566,124529,"Amino Acid","Phenylalanine Metabolism",155,"NAMED","BTNMPGBKDVTSJY-UHFFFAOYSA-N","O=C(C(O)=O)CC1=CC=CC=C1","phenylpyruvate","phenylpyruvate","156-06-9","972","HMDB0000205","C00166","997","Neg"
249,400,1768,155446,"Amino Acid","Histidine Metabolism",86,"NAMED","CQOVPNPJLQNMDC-ZETCQYMHSA-N","OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O","carnosine","carnosine","305-84-0","388363","HMDB0000033","C00386","439224","Pos Early"
250,209,2137,124825,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",4432,"NAMED","QBUVFDKTZJNUPP-YBRAVLHJSA-N","CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O","biliverdin","biliverdin","55482-27-4,55482-27-4","10628548","HMDB0001008","C00500","5280353","Neg"
251,400,568,155324,"Cofactors and Vitamins","Biotin Metabolism",4405,"NAMED","YBJHBAHKTGYVGT-UHFFFAOYSA-N","OC(CCCCC(SC1)C(N2)C1NC2=O)=O","biotin","biotin","58-85-5","149962","HMDB0000030","C00120","171548","Pos Early"
252,305,1437,147106,"Energy","TCA Cycle",1466,"NAMED","KDYFGRWQOYBRFD-UHFFFAOYSA-N","OC(CCC(O)=O)=O","succinate","succinate","110-15-6","1078","HMDB0000254","C00042","1110","Polar"
254,305,542,145710,"Lipid","Ketone Bodies",1956,"NAMED","WHBMMWSBFZVSSR-UHFFFAOYSA-N","CC(O)CC(O)=O","3-hydroxybutyrate (BHBA)","3-hydroxybutyrate (BHBA)","625-72-9","428","HMDB0000442,HMDB0000357,HMDB0000011","C03197,C01089","94318,441,92135","Polar"
266,402,63,164177,"Lipid","Sterol",3212,"NAMED","HVYWMOMLDIMFJA-LBHVWCRMSA-N","CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1","cholesterol","cholesterol","57-88-5","4937803","HMDB0000067","C00187","5997,6432564,11025495","Pos Late"
267,400,34396,156099,"Lipid","Phospholipid Metabolism",2251,"NAMED","YHHSONZFOIEMCP-UHFFFAOYSA-N","C[N+](C)(CCOP(O)([O-])=O)C","choline phosphate","phosphocholine","72556-74-2","119298","HMDB0001565","C00588","1014","Pos Early"
272,209,5983,126005,"Lipid","Corticosteroids",3317,"NAMED","OMFXVFTZEKFJBZ-UHFFFAOYSA-N","CC(C(CC1)=CC2=O)(CC2)C3C1C(CCC4C(CO)=O)C4(C)CC3O","corticosterone","corticosterone","50-22-6","5550","HMDB0001547","C02140","5753","Neg"
275,400,513,155307,"Amino Acid","Creatine Metabolism",537,"NAMED","DDRJAANPRJIHGJ-UHFFFAOYSA-N","CN(C(N1)=N)CC1=O","creatinine","creatinine","60-27-5","568","HMDB0000562","C00791","588","Pos Early"
279,305,56,165241,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",468,"NAMED","LEVWYRKDKASIDU-UHFFFAOYSA-N","NC(C(O)=O)CSSCC(N)C(O)=O","cystine","cystine","56-89-3","575","HMDB0000192","C00491","67678","Polar"
297,402,17747,158164,"Lipid","Sphingosines",3179,"NAMED","WWUZIQQURGPMPG-CCEZHUSRSA-N","CCCCCCCCCCCCC/C=C/C(C(CO)N)O","sphingosine","sphingosine","123-78-4","4510275","HMDB0000252","C00319","5280335","Pos Late"
302,209,1114,125714,"Lipid","Secondary Bile Acid Metabolism",3499,"NAMED","KXGVEGMKQFWNSR-OHAQSFBXSA-N","CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O","deoxycholate","deoxycholate","83-44-3","389318","HMDB0000626","C04483","222528,440355","Neg"
310,400,15705,155581,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",459,"NAMED","ILRYLPWNYFXEMH-UHFFFAOYSA-N","OC(C(CCSCC(N)C(O)=O)N)=O","cystathionine","cystathionine","535-34-2","811","HMDB0000099","C02291","439258","Pos Early"
313,402,17769,158166,"Lipid","Sphingolipid Synthesis",3019,"NAMED","OTKJDMGTUTTYMP-UHFFFAOYSA-N","CCCCCCCCCCCCCCCC(C(CO)N)O","sphinganine","sphinganine","3102-56-5","3014","HMDB0000269","C00836","3126","Pos Late"
327,209,2134,124607,"Cofactors and Vitamins","Riboflavin Metabolism",4353,"NAMED","VWWQXMAJTJZDQX-KUIMXZBMSA-N","OC(C(O)C(O)COP(OP(OC[C@H]1O[C@@H](N(C=N2)C3=C2C(N)=NC=N3)[C@H](O)[C@@H]1O)(O)=O)(O)=O)CN(C(C=C(C)C(C)=C4)=C4N=C5C(N6)=O)C5=NC6=O","flavin adenine dinucleotide (FAD)","FAD","146-14-5,84366-81-4","559059","HMDB0001248","C00016","643975","Neg"
330,305,1643,146876,"Energy","TCA Cycle",1467,"NAMED","VZCYOOQTPOCHFL-OWOJBTEDSA-N","OC(/C=C/C(O)=O)=O","fumarate","fumarate","100-17-8","10197150","HMDB0000134","C00122","444972","Polar"
331,400,36738,156248,"Peptide","Gamma-glutamyl Amino Acid",650,"NAMED","OWQDWQKWSLFFFR-UHFFFAOYSA-N","O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O","gamma-glutamylglutamate","gamma-glutamylglutamate","1116-22-9","83831","HMDB0011737","C05282","92865","Pos Early"
338,305,587,147098,"Xenobiotics","Food Component/Plant",4827,"NAMED","RGHNJXZEOKUKBD-SQOUGZDYSA-N","OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O","gluconate","gluconate","527-07-1","10240","HMDB0000625","C00257","10690,3085666","Polar"
339,305,396,146390,"Lipid","Fatty Acid, Dicarboxylate",1677,"NAMED","JFCQEDHGNNZCLN-UHFFFAOYSA-N","OC(CCCC(O)=O)=O","glutarate (C5-DC)","glutarate (C5-DC)","110-94-1","3618533","HMDB0000661","C00489","743,4418048","Polar"
340,400,58,160611,"Amino Acid","Glycine, Serine and Threonine Metabolism",1,"NAMED","DHMQDGOQFOQNFH-UHFFFAOYSA-N","NCC(O)=O","glycine","glycine","56-40-6","730","HMDB0000123","C00037","750","Pos Early"
342,209,18476,126842,"Lipid","Primary Bile Acid Metabolism",3474,"NAMED","RFDAIACWWDREDC-FRVQLJSFSA-N","O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O","glycocholate","glycocholate","475-31-0,863-57-0","9734","HMDB0000138","C01921","10140","Neg"
344,305,43802,147630,"Amino Acid","Creatine Metabolism",535,"NAMED","BPMFZUMJYQTVII-UHFFFAOYSA-N","NC(NCC(O)=O)=N","guanidinoacetate","guanidinoacetate","352-97-6","743","HMDB0000128","C00581","763","Polar"
347,305,2849,145746,"Nucleotide","Purine Metabolism, Guanine containing",4197,"NAMED","RQFCJASXJCIDSX-UHFFFAOYSA-N","NC1=NC2=C(C(N1)=O)N=CN2C3OC(C(C3O)O)COP(O)(O)=O","guanosine 5'-monophosphate (5'-GMP)","5'- GMP","5550-12-9","741","HMDB0001397","C00144","6804","Polar"
354,400,1574,155412,"Amino Acid","Histidine Metabolism",90,"NAMED","NTYJJOPFIAHURM-UHFFFAOYSA-N","NCCC1=CNC=N1","histamine","histamine","51-45-6","753","HMDB0000870","C00388","774","Pos Early"
355,209,59,123153,"Amino Acid","Histidine Metabolism",72,"NAMED","HNDVDQJCIGZPNO-UHFFFAOYSA-N","NC(C(O)=O)CC1=CN=CN1","histidine","histidine","5934-29-2","752","HMDB0000177","C00135","6274","Neg"
358,305,590,146416,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",476,"NAMED","VVIUBCNYACGLLV-UHFFFAOYSA-N","NCCS(O)=O","hypotaurine","hypotaurine","300-84-5","96959","HMDB0000965","C00519","107812","Polar"
361,209,1123,123191,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4139,"NAMED","UGQMRVRMYYASKQ-KQYNXXCUSA-N","O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O","inosine","inosine","58-63-9","21241953","HMDB0000195","C00294","6021","Neg"
362,400,2133,155461,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4138,"NAMED","GRSZFWQUAKGDAV-UHFFFAOYSA-N","OC1C(C(N2C=NC3=C2N=CNC3=O)OC1COP(O)(O)=O)O","inosine 5'-monophosphate (IMP)","inosine 5'-monophosphate (IMP)","4691-65-0","5482599","HMDB0000175","C00130","8582","Pos Early"
363,305,1124,145716,"Lipid","Inositol Metabolism",2219,"NAMED","CDAISMWEOUEBRE-GPIVLXJGSA-N","O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O","myo-inositol","myo-inositol","87-89-8","10239179","HMDB0000211","C00137","892","Polar"
376,400,1125,155350,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",390,"NAMED","AGPKZVBTJJNPAG-UHFFFAOYSA-N","NC(C(O)=O)C(C)CC","isoleucine","isoleucine","73-32-5","769","HMDB0000172","C06418,C00407,C16424","6306","Pos Early"
381,305,6146,147948,"Amino Acid","Lysine Metabolism",125,"NAMED","OYIFNHCXNCRBQI-UHFFFAOYSA-N","OC(CCCC(N)C(O)=O)=O","2-aminoadipate","2-aminoadipate","1118-90-7,542-32-5","456","HMDB0000510","C00956","92136","Polar"
391,400,2132,155460,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",499,"NAMED","RHGKLRLOHDJJDR-UHFFFAOYSA-N","NC(C(O)=O)CCCNC(N)=O","citrulline","citrulline","372-75-8","810","HMDB0000904","C00327","9750","Pos Early"
397,400,60,155300,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",337,"NAMED","ROHFNLRQFUQHCH-YFKPBYRVSA-N","O=C([C@H](CC(C)C)N)O","leucine","leucine","61-90-5",NA,"HMDB0000687","C00123","6106","Pos Early"
407,400,1301,155354,"Amino Acid","Lysine Metabolism",107,"NAMED","KDXKERNSBIXSRK-UHFFFAOYSA-N","NC(C(O)=O)CCCCN","lysine","lysine","56-87-1","5747","HMDB0003405","C00739,C00047","5962","Pos Early"
409,209,1303,123199,"Energy","TCA Cycle",1469,"NAMED","BJEPYKJPYRNKOW-UHFFFAOYSA-N","OC(C(O)=O)CC(O)=O","malate","malate","6915-15-7","510","HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497","525","Neg"
415,400,1302,155355,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",440,"NAMED","FFEARJCKVFRZRR-UHFFFAOYSA-N","CSCCC(N)C(O)=O","methionine","methionine","63-68-3","5907","HMDB0000696","C00073","6137","Pos Early"
418,305,1496,145730,"Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",1792,"NAMED","ZIYVHBGGAOATLY-UHFFFAOYSA-N","O=C(C(C(O)=O)C)O","methylmalonate (MMA)","methylmalonate (MMA)","516-05-2","473","HMDB0000202","C02170","487","Polar"
424,209,1336,125720,"Lipid","Long Chain Saturated Fatty Acid",1528,"NAMED","IPCSVZSSVZVIGE-UHFFFAOYSA-N","OC(CCCCCCCCCCCCCCC)=O","palmitate (16:0)","palmitate (16:0)","57-10-3","960","HMDB0000220","C00249","985","Neg"
432,400,594,155332,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4324,"NAMED","DFPAKSUCGFBDDF-UHFFFAOYSA-N","NC(C1=CN=CC=C1)=O","nicotinamide","nicotinamide","98-92-0","911","HMDB0001406","C00153","936","Pos Early"
439,209,1358,125724,"Lipid","Long Chain Saturated Fatty Acid",1532,"NAMED","QIQXTHQIDYTFRH-UHFFFAOYSA-N","CCCCCCCCCCCCCCCCCC(O)=O","stearate (18:0)","stearate (18:0)","57-11-4","5091","HMDB0000827","C01530","5281","Neg"
444,400,1493,155375,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",494,"NAMED","AHLPHDHHMVZTML-BYPYZUCNSA-N","O=C(O)[C@@H](N)CCCN","ornithine","ornithine","3184-13-2","6026","HMDB0000214","C00077","6262","Pos Early"
445,305,1505,146440,"Nucleotide","Pyrimidine Metabolism, Orotate containing",4227,"NAMED","PXQPEWDEAKTCGB-UHFFFAOYSA-N","O=C(C1=CC(O)=NC(O)=N1)O","orotate","orotate","50887-69-9","942","HMDB0000226","C00295","967","Polar"
448,400,27727,155840,"Amino Acid","Glutathione Metabolism",575,"NAMED","YPZRWBKMTBYPTK-BJDJZHNGSA-N","O=C([C@@H](NC(CC[C@@H](C(O)=O)N)=O)CSSC[C@@H](C(NCC(O)=O)=O)NC(CC[C@@H](C(O)=O)N)=O)NCC(O)=O","glutathione, oxidized (GSSG)","glutathione, oxidized (GSSG)","103239-24-3","58835","HMDB0003337","D00031,C00127","65359","Pos Early"
452,209,33447,126083,"Lipid","Long Chain Monounsaturated Fatty Acid",1547,"NAMED","SECPZKHBENQXJG-FPLPWBNLSA-N","CCCCCC\C=C/CCCCCCCC(O)=O","palmitoleate (16:1n7)","palmitoleate (16:1n7)","373-49-9","393216","HMDB0003229","C08362","445638","Neg"
460,400,64,155301,"Amino Acid","Phenylalanine Metabolism",142,"NAMED","COLNVLDHVKWLRT-UHFFFAOYSA-N","NC(C(O)=O)CC1=CC=CC=C1","phenylalanine","phenylalanine","63-91-2","5910","HMDB0000159","C00079","6140","Pos Early"
461,400,42109,156915,"Energy","Oxidative Phosphorylation",1486,"NAMED","NBIIXXVUZAFLBC-UHFFFAOYSA-N","O=P(O)(O)O","phosphate","phosphate","7664-38-2","1032","HMDB0001429","C00009","1061","Pos Early"
463,400,597,155334,"Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1255,"NAMED","DTBNBXWJWCWCIK-UHFFFAOYSA-N","O=P(O)(OC(C(O)=O)=C)O","phosphoenolpyruvate (PEP)","phosphoenolpyruvate (PEP)","10526-80-4","980","HMDB0000263","C00074","1005","Pos Early"
480,400,1898,155455,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",502,"NAMED","ONIBWKKTOPOVIA-UHFFFAOYSA-N","OC(C1CCCN1)=O","proline","proline","147-85-3","128566","HMDB0000162,HMDB0003411","C00148,C000763","8988,145742,614","Pos Early"
482,305,527,146396,"Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1257,"NAMED","JVTAAEKCZFNVCJ-UHFFFAOYSA-N","CC(O)C(O)=O","lactate","lactate","79-33-4","592","HMDB0000190","C00186","612","Polar"
491,400,1651,155439,"Cofactors and Vitamins","Vitamin B6 Metabolism",4471,"NAMED","RADKZDMFGJYCBB-UHFFFAOYSA-N","OC1=C(C)N=CC(CO)=C1C=O","pyridoxal","pyridoxal","65-22-5","1021","HMDB0001545","C00250","1050","Pos Early"
