"sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine",0.00189493144171711,0.01,0.346365433649882,0.39,0.180841065175459,0.02,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine 5'-monophosphate (IMP)",0.854834889664905,0.01,0.0539909346654203,0.39,0.00213466435056603,0.02,"Interaction"
"Inositol Metabolism","myo-inositol",0.656083333337492,0.44,0.115266715991866,0.16,0.264571921135536,0.02,"Single"
"Leucine, Isoleucine and Valine Metabolism","isoleucine",0.73278427500939,0.81,0.735463300551756,0.88,0.0407828829359927,0,"Single"
"Lysine Metabolism","2-aminoadipate",0.142493308239741,0.76,0.729249201109656,0.36,0.211233475173139,0,"Single"
"Urea cycle; Arginine and Proline Metabolism","citrulline",0.593643017198397,0.84,0.382823671374766,0.03,0.207895050881137,0,"Parallel"
"Leucine, Isoleucine and Valine Metabolism","leucine",0.522313672000688,0.81,0.322836525575998,0.88,0.056625347417693,0,"Single"
"Lysine Metabolism","lysine",0.555820513457246,0.76,0.131965968286086,0.36,0.594403016256353,0,"Single"
"TCA Cycle","malate",0.385389622061534,0.45,0.29164880820404,0.54,0.26516237433994,0.19,"None"
"Methionine, Cysteine, SAM and Taurine Metabolism","methionine",0.395748126910341,0.35,0.190804278593809,0.06,0.286214556979567,0,"Single"
"Fatty Acid Metabolism (also BCAA Metabolism)","methylmalonate (MMA)",0.338386016104451,0.91,0.724920958898544,0.32,0.98861923435886,0,"Single"
"Long Chain Saturated Fatty Acid","palmitate (16:0)",0.879139596753972,1,0.824257048425692,0.74,0.395247811970565,0.17,"None"
"Nicotinate and Nicotinamide Metabolism","nicotinamide",0.673427168262725,0.95,0.0772536241614299,0,0.332707255338772,0.01,"Parallel"
"Long Chain Saturated Fatty Acid","stearate (18:0)",0.776492156243906,1,0.702875419629303,0.74,0.439350150333937,0.17,"None"
"Urea cycle; Arginine and Proline Metabolism","ornithine",0.574571006644031,0.84,0.422596691390197,0.03,0.0124050473704462,0,"Parallel"
"Pyrimidine Metabolism, Orotate containing","orotate",0.596494397435115,0.88,0.34635977806919,0.11,0.156914297105344,0.1,"None"
"Glutathione Metabolism","glutathione, oxidized (GSSG)",0.625297367218211,0.78,0.249760997770896,0.1,0.572472710834588,0.06,"None"
"Long Chain Monounsaturated Fatty Acid","palmitoleate (16:1n7)",0.946054010994459,1,0.82622808985844,0.24,0.700966147674474,0.35,"None"
"Phenylalanine Metabolism","phenylalanine",0.66599040027672,0.46,0.130430886147773,0.65,0.0771709770548048,0,"Single"
"Oxidative Phosphorylation","phosphate",0.783132618209096,0.783132618209096,0.155070373535365,0.155070373535365,0.176363610013061,0.176363610013061,"None"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","phosphoenolpyruvate (PEP)",0.852927928706429,0.86,0.3176392469506,0.26,0.0755973555950914,0.05,"None"
"Urea cycle; Arginine and Proline Metabolism","proline",0.108338655835031,0.84,0.081221781459058,0.03,0.113897922245691,0,"Parallel"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","lactate",0.549999086006248,0.86,0.512041672043108,0.26,0.185071213908203,0.05,"None"
"Vitamin B6 Metabolism","pyridoxal",0.199333444336119,0.71,0.342069871229657,0.76,0.248523592900686,0.52,"None"
"Vitamin A Metabolism","retinol (vitamin A)",0.860143441255263,0.83,0.515545607088632,0.62,0.291106114153992,0.24,"None"
"Riboflavin Metabolism","riboflavin (vitamin B2)",0.897738021974263,0.98,0.624213762571407,0.21,0.0326329984585736,0.07,"None"
"Drug - Topical Agents","salicylate",0.257411571281993,0.1,0.00970900655810512,0.02,0.00308466886440183,0,"Parallel"
"Glycine, Serine and Threonine Metabolism","serine",0.392960954048047,0.56,0.244876882329247,0.03,0.165400163778321,0.01,"Parallel"
"Tryptophan Metabolism","serotonin",0.989218759755053,0.65,0.185490451769952,0.25,0.00646758888545493,0,"Single"
"Polyamine Metabolism","spermine",0.999613356265006,1,0.183072766365713,0.03,0.0173153693861519,0.02,"Parallel"
"Methionine, Cysteine, SAM and Taurine Metabolism","taurine",0.546342186023042,0.35,0.179735007523788,0.06,0.154198248867754,0,"Single"
"Long Chain Saturated Fatty Acid","myristate (14:0)",0.910442170159903,1,0.602693126474267,0.74,0.386582724838456,0.17,"None"
"Thiamine Metabolism","thiamin monophosphate",0.701541409613597,0.91,0.834686993356041,0.81,0.120075357112031,0.03,"Single"
"Urea cycle; Arginine and Proline Metabolism","urea",0.413829992430733,0.84,0.111170465611465,0.03,0.00633086370348985,0,"Parallel"
"Pyrimidine Metabolism, Uracil containing","uridine",0.597064148410084,0.99,0.196314714745432,0.25,0.249955856827649,0.04,"Single"
"Pyrimidine Metabolism, Uracil containing","2'-deoxyuridine",0.370763084004716,0.99,0.945662680847668,0.25,0.743959991742197,0.04,"Single"
"Histidine Metabolism","trans-urocanate",0.707001846696969,1,0.0260289181793814,0,0.229043290972426,0,"Parallel"
"Glutamate Metabolism","glutamate",0.630799078981836,0.83,0.673057610757898,0.07,0.059788976525362,0.01,"Single"
"Glutamate Metabolism","glutamine",0.789552034291551,0.83,0.0856029769855266,0.07,0.385088696183622,0.01,"Single"
"Glycine, Serine and Threonine Metabolism","threonine",0.459132016648584,0.56,0.199391819381045,0.03,0.198999219618164,0.01,"Parallel"
"Tryptophan Metabolism","tryptophan",0.720585064878074,0.65,0.173371271440561,0.25,0.154562311482715,0,"Single"
"Leucine, Isoleucine and Valine Metabolism","valine",0.542299310945353,0.81,0.351358903806821,0.88,0.0684660295721495,0,"Single"
"Vitamin B6 Metabolism","pyridoxamine",0.94867307803984,0.71,0.623861881999433,0.76,0.515153960723599,0.52,"None"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","glucose",0.306876646912788,0.86,0.428390894517766,0.26,0.430567113276131,0.05,"None"
"Purine Metabolism, Adenine containing","adenosine",0.53226070336496,1,0.187935183194594,0.23,0.0198798069438136,0,"Single"
"Glycine, Serine and Threonine Metabolism","betaine",0.224193692328202,0.56,0.00160187568773203,0.03,0.265264789020162,0.01,"Parallel"
"Methionine, Cysteine, SAM and Taurine Metabolism","cysteine",0.477781536364459,0.35,0.0869562533617287,0.06,0.279604778579664,0,"Single"
"Fructose, Mannose and Galactose Metabolism","mannose",0.842638798437491,0.32,0.220655172834899,0.42,0.66638735431509,0.22,"None"
"Glycine, Serine and Threonine Metabolism","dimethylglycine",0.357417738509335,0.56,0.481186712409209,0.03,0.0814291066167479,0.01,"Parallel"
"Alanine and Aspartate Metabolism","alanine",0.227671348835875,0.91,0.101305049136637,0.13,0.182709023075793,0.06,"None"
"Tyrosine Metabolism","tyrosine",0.0280302706937612,0.06,0.737583425901831,0.25,0.782729267892798,0,"Single"
"Fatty Acid Synthesis","malonate",0.0440858071209552,0.15,0.525738337834282,0.28,0.451168495580351,0.61,"None"
"Pyrimidine Metabolism, Uracil containing","pseudouridine",0.973634000219041,0.99,0.781531757085921,0.25,0.629824133764063,0.04,"Single"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","pyruvate",0.218618342541129,0.86,0.926814691905613,0.26,0.0960700505762401,0.05,"None"
"Pyrimidine Metabolism, Uracil containing","uracil",0.501196439007449,0.99,0.253543892997048,0.25,0.0827059275788805,0.04,"Single"
"Pentose Metabolism","xylose",0.572022004028262,0.3,0.708568927430138,0.97,0.0751706414693195,0.17,"None"
"Pyrimidine Metabolism, Cytidine containing","cytidine",0.394511702635587,0.89,0.0143559281818181,0.11,0.847415812941565,0.5,"None"
"Pentose Metabolism","arabinose",0.566929867915584,0.3,0.284595628043452,0.97,0.451282473109295,0.17,"None"
"Pyrimidine Metabolism, Uracil containing","uridine 5'-monophosphate (UMP)",0.601966481907232,0.99,0.253179610103461,0.25,0.0646370991726702,0.04,"Single"
"Pyrimidine Metabolism, Thymine containing","thymidine",0.144888966214417,0.43,0.33002833695532,0.16,0.610713852019853,0.56,"None"
"Thiamine Metabolism","thiamin (vitamin B1)",0.7428311265826,0.91,0.412831782315294,0.81,0.124470461387799,0.03,"Single"
"Fructose, Mannose and Galactose Metabolism","fructose",0.792257227601727,0.32,0.307321193360155,0.42,0.0614523917910258,0.22,"None"
"Purine Metabolism, Adenine containing","adenine",0.995820549871299,1,0.721806842709318,0.23,0.026294796719146,0,"Single"
"Pyrimidine Metabolism, Cytidine containing","cytosine",0.0744820333169188,0.89,0.623748554340595,0.11,0.115040692439121,0.5,"None"
"Pyrimidine Metabolism, Thymine containing","thymine",0.61910097597371,0.43,0.237104754378522,0.16,0.534320080628852,0.56,"None"
"Medium Chain Fatty Acid","caprate (10:0)",0.720564753607965,0.99,0.600043899840286,0.83,0.988495960337947,1,"None"
"Long Chain Saturated Fatty Acid","margarate (17:0)",0.912675284250067,1,0.439826057040217,0.74,0.315238861386811,0.17,"None"
"Long Chain Saturated Fatty Acid","nonadecanoate (19:0)",0.820603501967538,1,0.660077953090048,0.74,0.143778453750522,0.17,"None"
"Long Chain Saturated Fatty Acid","arachidate (20:0)",0.753094108898984,1,0.127697711899854,0.74,0.133411971798974,0.17,"None"
"Glycogen Metabolism","maltose",0.0467694579043373,0.0467694579043373,0.10253797130004,0.10253797130004,0.879130243005844,0.879130243005844,"Interaction"
"Pentose Metabolism","ribose",0.561368464712294,0.3,0.871314494546132,0.97,0.737318429077923,0.17,"None"
"Alanine and Aspartate Metabolism","asparagine",0.309556689381181,0.91,0.0864659602906397,0.13,0.336907413863558,0.06,"None"
"Pyrimidine Metabolism, Orotate containing","dihydroorotate",0.398628343212143,0.88,0.0112986142080524,0.11,0.130823791672739,0.1,"None"
"Medium Chain Fatty Acid","heptanoate (7:0)",0.805429927079598,0.99,0.540050820574947,0.83,0.895048775454301,1,"None"
"Medium Chain Fatty Acid","caproate (6:0)",0.89704825565853,0.99,0.714264374590908,0.83,0.546003271643735,1,"None"
"Disaccharides and Oligosaccharides","sucrose",0.0949976552144892,0.0949976552144892,0.229961473333455,0.229961473333455,0.175004865303358,0.175004865303358,"None"
"Long Chain Saturated Fatty Acid","pentadecanoate (15:0)",0.943515002931663,1,0.459755351595222,0.74,0.202813260268387,0.17,"None"
"Urea cycle; Arginine and Proline Metabolism","trans-4-hydroxyproline",0.373568481088615,0.84,0.389056880283849,0.03,0.382914419055431,0,"Parallel"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","allantoin",0.320404253594921,0.01,0.407346529830115,0.39,0.19126329068727,0.02,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","xanthine",0.0205113787461116,0.01,0.282226949391325,0.39,0.263395867316295,0.02,"Interaction"
"Glutathione Metabolism","5-oxoproline",0.955613522605582,0.78,0.235258157111252,0.1,0.397398406052257,0.06,"None"
"Tryptophan Metabolism","picolinate",0.0812241773847139,0.65,0.0377834012198013,0.25,0.00547298583335026,0,"Single"
"Glycine, Serine and Threonine Metabolism","sarcosine",0.366647016560683,0.56,0.141470008844641,0.03,0.0375486331035394,0.01,"Parallel"
"Pantothenate and CoA Metabolism","pantothenate",0.740786363646394,0.740786363646394,0.849782333603502,0.849782333603502,0.173937100932345,0.173937100932345,"None"
"Lysine Metabolism","pipecolate",0.634478753025548,0.76,0.766054651886309,0.36,0.131993041561185,0,"Single"
"Phospholipid Metabolism","phosphoethanolamine",0.801560414722507,0.81,0.31527379448364,0.02,0.191542598173101,0.18,"Parallel"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","glycerate",0.409017140358067,0.86,0.468834102871383,0.26,0.107667226761617,0.05,"None"
"Pyrimidine Metabolism, Uracil containing","3-ureidopropionate",0.452155322528783,0.99,0.367168657328789,0.25,0.490203341294578,0.04,"Single"
"Leucine, Isoleucine and Valine Metabolism","N-acetylleucine",0.581151376884589,0.81,0.830694138019902,0.88,0.0342417807526771,0,"Single"
"Methionine, Cysteine, SAM and Taurine Metabolism","N-acetylmethionine",0.526788721963844,0.35,0.830911385882961,0.06,0.12210812131517,0,"Single"
"Leucine, Isoleucine and Valine Metabolism","N-acetylvaline",0.779358047705387,0.81,0.841467410994541,0.88,0.091466841541735,0,"Single"
"Long Chain Monounsaturated Fatty Acid","erucate (22:1n9)",0.836681661979683,1,0.176482804844534,0.24,0.206382534367916,0.35,"None"
"Tyrosine Metabolism","thyroxine",0.450504826287134,0.06,0.861267444436198,0.25,0.255789515585828,0,"Single"
"Gamma-glutamyl Amino Acid","gamma-glutamyltyrosine",0.16594154891488,0.48,0.628164484147709,0.13,0.13998628299718,0.19,"None"
"Food Component/Plant","methyl indole-3-acetate",0.766889138152475,0.04,0.603165099492178,0,0.130699462846741,0,"Interaction"
"Tocopherol Metabolism","alpha-tocopherol",0.307946338466968,0.49,0.190316212284357,0.32,0.102397679742112,0.09,"None"
"Pyrimidine Metabolism, Orotate containing","N-carbamoylaspartate",0.731336494003846,0.88,0.897507913375027,0.11,0.257532767714685,0.1,"None"
"Alanine and Aspartate Metabolism","N-acetylalanine",0.790033092113044,0.91,0.294758308692547,0.13,0.0635343395809506,0.06,"None"
"Polyamine Metabolism","4-acetamidobutanoate",0.710825267715747,1,0.751483877135272,0.03,0.0938650559356088,0.02,"Parallel"
"Pyrimidine Metabolism, Thymine containing","3-aminoisobutyrate",0.561424083791192,0.43,0.123910938125864,0.16,0.263504205681713,0.56,"None"
"Primary Bile Acid Metabolism","chenodeoxycholate",0.974893093709667,0.95,0.0546125768262497,0,0.230501818883683,0,"Parallel"
"TCA Cycle","citrate",0.826000824315642,0.45,0.864363554056212,0.54,0.0798934388795047,0.19,"None"
"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouracil",0.389538828096356,0.99,0.142444685020449,0.25,0.0195811906985942,0.04,"Single"
"Glutathione Metabolism","2-aminobutyrate",0.314309047918218,0.78,0.241694007091303,0.1,0.123125047894007,0.06,"None"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","urate",0.66428712740645,0.01,0.890771162096789,0.39,0.218408760004656,0.02,"Interaction"
"Secondary Bile Acid Metabolism","ursodeoxycholate",0.85494878885937,0.88,0.0472006230900592,0,0.446684977202517,0.01,"Parallel"
"Endocannabinoid","oleoyl ethanolamide",0.982174414139116,1,0.272382637901974,0.49,0.458077310081125,0.23,"None"
"Gamma-glutamyl Amino Acid","gamma-glutamylglutamine",0.501986084655875,0.48,0.0865483774077012,0.13,0.713449963752862,0.19,"None"
"Tyrosine Metabolism","4-hydroxyphenylpyruvate",0.370786447916777,0.06,0.683639909625523,0.25,0.0378215198383637,0,"Single"
"Short Chain Fatty Acid","butyrate/isobutyrate (4:0)",0.95428511790496,0.95428511790496,0.721038397065516,0.721038397065516,0.0639368436774778,0.0639368436774778,"None"
"Leucine, Isoleucine and Valine Metabolism","tigloylglycine",0.698087410095725,0.81,0.517290368885241,0.88,0.0718537033500476,0,"Single"
"Aminosugar Metabolism","N-acetylneuraminate",0.525992980626161,0.77,0.0735555980039308,0.07,0.72956038522572,0.87,"None"
"Aminosugar Metabolism","N-acetylglucosaminylasparagine",0.847506757538395,0.77,0.292181510042853,0.07,0.22500250429278,0.87,"None"
"Creatine Metabolism","creatine",0.836267721826724,0.67,0.339141915247581,0.86,0.0688190625793647,0.31,"None"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","2,3-diphosphoglycerate",0.958753135498828,0.86,0.0987132816989549,0.26,0.213516213251169,0.05,"None"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","dihomo-linoleate (20:2n6)",0.971477522140113,1,0.122179793790926,0.16,0.3733005348523,0.04,"Single"
"Gamma-glutamyl Amino Acid","gamma-glutamylhistidine",0.303980850860394,0.48,0.121006971481457,0.13,0.532753203519044,0.19,"None"
"Fatty Acid, Monohydroxy","2-hydroxystearate",0.922167181628266,1,0.609350799282255,0.99,0.413501293779164,0.12,"None"
"Purine Metabolism, Adenine containing","N1-methyladenosine",0.913048480740645,1,0.138136977966592,0.23,0.822621519827241,0,"Single"
"Glycerolipid Metabolism","glycerol",0.808834026429791,0.77,0.624350316194359,0.23,0.777481686938207,0.25,"None"
"Phospholipid Metabolism","choline",0.883630828012947,0.81,0.171415521883235,0.02,0.236689403992944,0.18,"Parallel"
"Tryptophan Metabolism","anthranilate",0.233065785145961,0.65,0.311750249953962,0.25,0.160535494506076,0,"Single"
"Food Component/Plant","cinnamate",0.317225598710383,0.04,0.688966595444973,0,0.326324244015232,0,"Interaction"
"Eicosanoid","12-HHTrE",0.078501197497778,0.43,0.00671091728220248,0,0.509052110441254,0.03,"Parallel"
"Gamma-glutamyl Amino Acid","gamma-glutamylleucine",0.431388040297504,0.48,0.282629990590929,0.13,0.0411013100068213,0.19,"None"
"Benzoate Metabolism","p-hydroxybenzaldehyde",0.183597911003606,0.09,0.873451527206014,0,0.201239577574234,0,"Parallel"
"Tyrosine Metabolism","3-methoxytyrosine",0.191443160789506,0.06,0.158657363593426,0.25,0.680163158234727,0,"Single"
"Leucine, Isoleucine and Valine Metabolism","beta-hydroxyisovalerate",0.141418931735678,0.81,0.995884170826315,0.88,0.921459421326122,0,"Single"
"Endocannabinoid","palmitoyl ethanolamide",0.961707515427107,1,0.455389726762557,0.49,0.561355067806008,0.23,"None"
"Ceramides","N-palmitoyl-sphingosine (d18:1/16:0)",0.772448573995723,0.99,0.719794356995646,0.91,0.543643004070224,0.96,"None"
"Phosphatidylethanolamine (PE)","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",0.283237178495287,0.67,0.247716185638342,0.35,0.326453375691866,0.49,"None"
"Phosphatidylinositol (PI)","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)",0.91943990069812,1,0.366801816901746,0.44,0.56206066963495,0.39,"None"
"Phosphatidylcholine (PC)","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",0.677270652539876,1,0.427447569828912,0.04,0.188923718804185,0.91,"Parallel"
"Sphingomyelins","stearoyl sphingomyelin (d18:1/18:0)",0.799671917069081,1,0.305447164962006,0.48,0.184022003120417,0.9,"None"
"Phosphatidylcholine (PC)","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)",0.656508895585347,1,0.609359962245332,0.04,0.513664085065565,0.91,"Parallel"
"Ceramides","N-stearoyl-sphingosine (d18:1/18:0)*",0.477528187455764,0.99,0.899133597841763,0.91,0.690248889811045,0.96,"None"
"Tetrahydrobiopterin Metabolism","biopterin",0.919103629649858,0.66,0.18024533509914,0.38,0.694905320610219,0.7,"None"
"Primary Bile Acid Metabolism","taurochenodeoxycholate",0.560731462601052,0.95,0.276253146877687,0,0.081046859803491,0,"Parallel"
"Primary Bile Acid Metabolism","taurocholate",0.724213891078839,0.95,0.0115813443429819,0,0.551609793198297,0,"Parallel"
"Secondary Bile Acid Metabolism","taurodeoxycholate",0.450534976929994,0.88,0.394514024539927,0,0.0386968089642496,0.01,"Parallel"
